,DT.NFL.UNDP.CD,DT.NFL.UNFP.CD,EG.CFT.ACCS.ZS,EG.ELC.ACCS.RU.ZS,EG.ELC.ACCS.UR.ZS,EG.FEC.RNEW.ZS,IT.MLT.MAIN.P2,NV.AGR.TOTL.ZS,SE.PRM.ENRL.TC.ZS,SE.PRM.NENR,SE.PRM.TCHR.FE.ZS,SE.SEC.ENRR,SE.SEC.NENR,SH.ANM.ALLW.ZS,SH.DTH.COMM.ZS,SH.DYN.0514,SH.STA.BRTC.ZS,SH.TBS.DTEC.ZS,SL.AGR.EMPL.FE.ZS,SP.ADO.TFRT
344,-0.7652569215478705,-0.7988553044298151,0.9667222153149468,0.7256141906968478,0.5829694737884634,-0.9821694690367809,-0.1363229997612106,-0.9606105347430998,-0.9920458047622872,0.6345128385346522,0.28193411759839393,0.6495710432056689,0.8979400021327376,1.041877320744599,-0.8039434559835987,-0.6039463865451977,0.6836268181753229,0.6718465659569299,-0.9844094924669651,-0.8797878065479471
3991,-0.49896609631414196,0.0993696574047954,0.8622812559561471,0.7256141906968478,0.5295431806572192,-0.6817881976884457,0.11045840972818725,-0.7911000170797422,-0.692469695792876,-0.17668033034257827,0.9489976516532389,0.42016470095715813,0.6987436065123036,-0.4069508287025541,-0.891838456690347,-0.5145418327929403,0.6836268181753229,0.6718465659569299,-0.9094777705555398,-0.7001076040231888
3206,0.9034635743023016,0.6164002233364084,0.9667222153149468,0.7256141906968478,0.5295431806572192,-0.8820423785873358,1.2456528933794173,-0.875855275911421,-0.39289358682346476,0.7820025056032396,-1.052192950511296,1.3050177353442713,0.818261443884564,-1.3728362616673229,-0.7599959556302246,-0.6039463865451977,0.7251398897669296,0.6718465659569299,-0.9094777705555398,-1.0594680090727053
4340,-0.6310200201197865,-0.6875304036633021,0.9667222153149468,0.7256141906968478,0.5295431806572192,-0.24790413907418365,1.887284558051852,-0.9606105347430998,-1.0669398320046402,0.4132783379317712,0.593230433490655,0.5840263739918087,0.5393864900159565,-1.1313649034261306,-0.9357859570437211,-0.6933509402974553,0.7251398897669296,0.6718465659569299,-0.9094777705555398,-1.104388059703895
4384,1.065113801841001,-0.03813453072030504,0.10508430060484984,0.6700805342848273,0.5295431806572192,1.0537480367686023,-0.777954664433645,0.6497393830587971,0.05647057663065213,0.708257672068946,-0.20724580737515905,0.19075835870864732,0.5792257691400433,0.07599188777983029,0.11895405143725789,-0.24632817153616776,0.18546995907604252,-0.16229431810824793,1.6007349134772053,-0.0936869205021295
3027,-0.012295538310987484,0.8400952419932979,-0.7304433742655472,-1.356897924753926,0.2624117150009977,-0.8820423785873358,-0.6792421006378859,-0.11305794642631196,0.35604668560006336,0.708257672068946,1.215823065275177,0.42016470095715813,0.5393864900159565,-1.1313649034261306,-0.540258453863354,-0.3357327252884253,0.6421137465837162,-2.1642324398646746,0.2144980581158386,-0.6102675027608097
236,-0.7071016263591652,-0.4602544340317564,0.9667222153149468,0.7256141906968478,0.5295431806572192,-0.748539591321409,1.6405031485624542,-0.7911000170797422,-0.5426816413081704,0.4870231714660649,0.3708759221390399,2.4192771119798953,0.34019009439552245,-1.6947980726555791,-0.891838456690347,-0.6039463865451977,0.6836268181753229,0.6718465659569299,-0.9094777705555398,-0.8124077306011628
2512,-0.6060948354972263,-0.75556228746506,0.6533993372385479,0.7256141906968478,0.5295431806572192,0.15260422272359667,0.5053086649112238,-0.6215894994163846,-0.7673637230352288,0.6345128385346522,1.304764869815823,0.5512540393848786,-0.2972383715898664,-0.4874412814496181,-0.9357859570437211,-0.42513727904068277,0.7251398897669296,0.6718465659569299,-0.5348191609984136,-0.7899477052855679
1165,-0.5321435607570312,-0.5461230408229935,0.41840717868124877,0.7256141906968478,0.5829694737884634,-0.9821694690367809,1.0482277657878991,-0.9606105347430998,-1.141833859246993,0.708257672068946,0.5487595312203319,0.7478880470264593,0.6589043273882168,-0.32646037595549005,-0.7160484552768505,-0.5145418327929403,0.6836268181753229,0.6718465659569299,-0.7221484657769768,-0.38566724960486176
4590,-0.4010195144074958,-0.4339564001123514,0.914501735635547,0.6978473624908376,0.5295431806572192,-0.9821694690367809,-0.5311732549442472,-0.11305794642631196,-0.6175756685505231,-0.0291906632739909,-0.296187611915805,0.8789773854541797,0.7784221647604772,0.15648234052689436,0.031059050730509633,-0.24632817153616776,0.6836268181753229,0.2825808200598469,-0.12269469048557492,-0.6551875533919992
3999,-0.49896609631414196,0.0993696574047954,0.8622812559561471,0.7256141906968478,0.5829694737884634,-0.5482854104225189,-0.3337481273527289,-0.7911000170797422,-0.692469695792876,-0.32416999741116564,0.9934685539235619,0.42016470095715813,0.6589043273882168,-0.24596992320842595,-0.891838456690347,-0.6039463865451977,0.6421137465837162,0.6718465659569299,-0.9469436315112525,-0.6102675027608097
448,-0.5999728871760809,-0.7679317208835615,0.49673789820034847,0.17027762657664156,0.3692643012634863,0.15260422272359667,-0.4818169730463676,-0.02830268759463318,-0.1682115050964063,0.4132783379317712,0.14852141078742495,-0.13696498736065385,-0.17772053421760597,-0.5679317341966822,-0.32052095209648335,-0.3357327252884253,0.4760614602172894,0.6718465659569299,-0.8720119095998272,0.5576538136501193
